team1,team2,winner,winner_team_score,winner_team_wicket,opponent_team_score,opponent_team_wicket,winner_played_at,match_date,time_of_day,series,toss,toss_decision,ground_country
West Indies,Australia,Australia,173,9,172,9,home,"Jan 1, 1996",Day and night,Benson & Hedges World Series,West Indies,bat first,Australia
West Indies,Sri Lanka,West Indies,194,10,124,10,away,"Jan 3, 1996",Day,Benson & Hedges World Series,Sri Lanka,field first,Australia
Sri Lanka,West Indies,West Indies,104,3,102,3,away,"Jan 5, 1996",Day and night,Benson & Hedges World Series,Sri Lanka,bat first,Australia
West Indies,Australia,West Indies,231,10,217,10,away,"Jan 7, 1996",Day,Benson & Hedges World Series,Australia,field first,Australia
Australia,Sri Lanka,Sri Lanka,214,7,213,7,away,"Jan 9, 1996",Day and night,Benson & Hedges World Series,Australia,bat first,Australia
South Africa,England,South Africa,211,8,205,8,home,"Jan 9, 1996",Day and night,England tour of South Africa,South Africa,bat first,South Africa
South Africa,England,England,265,5,262,5,away,"Jan 11, 1996",Day and night,England tour of South Africa,South Africa,bat first,South Africa
Australia,Sri Lanka,Australia,266,6,183,6,home,"Jan 12, 1996",Day and night,Benson & Hedges World Series,Australia,bat first,Australia
England,South Africa,South Africa,199,7,198,7,home,"Jan 13, 1996",Day,England tour of South Africa,England,bat first,South Africa
Sri Lanka,West Indies,Sri Lanka,202,10,186,10,away,"Jan 14, 1996",Day,Benson & Hedges World Series,West Indies,field first,Australia
England,South Africa,South Africa,276,3,272,3,home,"Jan 14, 1996",Day,England tour of South Africa,England,bat first,South Africa
Australia,Sri Lanka,Sri Lanka,246,7,242,7,away,"Jan 16, 1996",Day and night,Benson & Hedges World Series,Australia,bat first,Australia
England,South Africa,South Africa,185,5,184,5,home,"Jan 17, 1996",Day and night,England tour of South Africa,South Africa,field first,South Africa
South Africa,England,South Africa,129,10,115,10,home,"Jan 19, 1996",Day and night,England tour of South Africa,South Africa,bat first,South Africa
South Africa,England,South Africa,218,9,154,9,home,"Jan 21, 1996",Day,England tour of South Africa,South Africa,bat first,South Africa
New Zealand,Zimbabwe,New Zealand,278,5,204,5,home,"Jan 28, 1996",Day,Zimbabwe tour of New Zealand,New Zealand,bat first,New Zealand
Zimbabwe,New Zealand,New Zealand,184,4,181,4,home,"Jan 31, 1996",Day,Zimbabwe tour of New Zealand,Zimbabwe,bat first,New Zealand
Zimbabwe,New Zealand,Zimbabwe,267,7,246,7,away,"Feb 3, 1996",Day and night,Zimbabwe tour of New Zealand,New Zealand,field first,New Zealand
New Zealand,England,New Zealand,239,6,228,6,away,"Feb 14, 1996",Day,Wills World Cup,England,field first,India
South Africa,United Arab Emirates,South Africa,321,2,152,2,away,"Feb 16, 1996",Day,Wills World Cup,United Arab Emirates,field first,Pakistan
Zimbabwe,West Indies,West Indies,155,4,151,4,away,"Feb 16, 1996",Day and night,Wills World Cup,Zimbabwe,bat first,India
New Zealand,Netherlands,New Zealand,307,8,188,8,away,"Feb 17, 1996",Day,Wills World Cup,New Zealand,bat first,India
